,id,keywords
0,640146,"[{'id': 1701, 'name': 'hero'}, {'id': 3126, 'name': 'ant'}, {'id': 9663, 'name': 'sequel'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 18035, 'name': 'family'}, {'id': 155030, 'name': 'superhero team'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}]"
1,934433,"[{'id': 242, 'name': 'new york city'}, {'id': 2546, 'name': 'mask'}, {'id': 2754, 'name': 'trauma'}, {'id': 3335, 'name': 'halloween'}, {'id': 3616, 'name': 'college'}, {'id': 3864, 'name': 'fake identity'}, {'id': 9663, 'name': 'sequel'}, {'id': 9748, 'name': 'revenge'}, {'id': 9780, 'name': 'public murder'}, {'id': 9826, 'name': 'murder'}, {'id': 10292, 'name': 'gore'}, {'id': 10714, 'name': 'serial killer'}, {'id': 11208, 'name': 'conspiracy theory'}, {'id': 11479, 'name': 'social commentary'}, {'id': 11734, 'name': 'police corruption'}, {'id': 12339, 'name': 'slasher'}, {'id': 12570, 'name': 'whodunit'}, {'id': 14688, 'name': 'multiple stabbings'}, {'id': 14707, 'name': 'brutality'}, {'id': 17987, 'name': 'killing spree'}, {'id': 160612, 'name': 'self-referential'}, {'id': 177695, 'name': 'crime spree'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 210281, 'name': 'sisterhood'}, {'id': 218048, 'name': 'movie fan'}, {'id': 220455, 'name': 'copycat killer'}, {'id': 234025, 'name': 'masked villain'}, {'id': 238142, 'name': 'stabbed to death'}, {'id': 241738, 'name': 'sister sister relationship'}, {'id': 272551, 'name': 'fbi agent'}, {'id': 305143, 'name': 'post credit scene'}, {'id': 305666, 'name': 'masked killer'}]"
2,879444,"[{'id': 779, 'name': 'martial arts'}, {'id': 9663, 'name': 'sequel'}, {'id': 9717, 'name': 'based on comic'}]"
3,1036561,"[{'id': 779, 'name': 'martial arts'}, {'id': 9715, 'name': 'superhero'}, {'id': 12332, 'name': 'apocalypse'}, {'id': 33637, 'name': 'super power'}]"
4,677179,"[{'id': 276, 'name': 'philadelphia, pennsylvania'}, {'id': 1157, 'name': 'husband wife relationship'}, {'id': 1643, 'name': 'deaf'}, {'id': 6075, 'name': 'sports'}, {'id': 9663, 'name': 'sequel'}, {'id': 13014, 'name': 'orphan'}, {'id': 41368, 'name': 'former best friend'}, {'id': 156121, 'name': 'ex-con'}, {'id': 160246, 'name': 'childhood friends'}, {'id': 174258, 'name': 'juvenile detention center'}, {'id': 209476, 'name': 'boxing'}, {'id': 228041, 'name': 'prodigy'}]"
5,758323,"[{'id': 514, 'name': 'spain'}, {'id': 588, 'name': 'rome, italy'}, {'id': 716, 'name': 'vatican'}, {'id': 717, 'name': 'pope'}, {'id': 4931, 'name': 'pig'}, {'id': 9712, 'name': 'possession'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 14999, 'name': 'devil'}, {'id': 159940, 'name': 'exorcist'}, {'id': 161198, 'name': 'skepticism'}, {'id': 172391, 'name': 'catholic priest'}, {'id': 208289, 'name': '1980s'}, {'id': 256183, 'name': 'supernatural horror'}]"
6,626332,"[{'id': 5565, 'name': 'biography'}, {'id': 9672, 'name': 'based on true story'}, {'id': 10756, 'name': 'janitor'}, {'id': 164253, 'name': 'mexican american'}, {'id': 187056, 'name': 'woman director'}]"
7,76600,"[{'id': 697, 'name': 'loss of loved one'}, {'id': 3737, 'name': 'dying and death'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 6506, 'name': 'resurrection'}, {'id': 9663, 'name': 'sequel'}, {'id': 10041, 'name': 'dysfunctional family'}, {'id': 10158, 'name': 'alien planet'}, {'id': 11239, 'name': 'distant future'}, {'id': 185927, 'name': 'adopted child'}, {'id': 194421, 'name': 'rebirth'}, {'id': 205734, 'name': 'family dynamics'}, {'id': 209051, 'name': 'adopted son'}, {'id': 219826, 'name': 'stronger villain'}, {'id': 273967, 'name': 'war'}]"
8,594767,"[{'id': 9715, 'name': 'superhero'}, {'id': 10150, 'name': 'end of the world'}, {'id': 33637, 'name': 'super power'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 229266, 'name': 'dc extended universe (dceu)'}, {'id': 296608, 'name': 'teenager'}]"
9,228150,"[{'id': 502, 'name': 'ambush'}, {'id': 1295, 'name': 'europe'}, {'id': 1701, 'name': 'hero'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2652, 'name': 'nazi'}, {'id': 3930, 'name': 'bravery'}, {'id': 11115, 'name': 'heroism'}, {'id': 11117, 'name': 'tank'}, {'id': 13129, 'name': 'execution'}, {'id': 14643, 'name': 'battle'}, {'id': 14707, 'name': 'brutality'}, {'id': 158449, 'name': 'hatred'}, {'id': 207883, 'name': '1940s'}, {'id': 240548, 'name': 'beating the odds'}]"
